Mandal,Date,Rain (mm),Min Temp,Max Temp,Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph),SO2,Nox,PM 10,PM 2.5,NH3,Petrol Vehicle,Diesel Vehicle,Electric Vehicle,1-3 seater,4-7 seater,8-20 seater,20+ seater,AQI
Chigurumamidi,01-11-2022,-0.64364,15.579,,19.1554,97.19814,-0.00036,6.844607,7.199609,37.09921,56.96573,55.99943,36.00616,2.82705,2.618283,8.09E-05,5.266021,6.963886,0.008408,4.87E-05,
Chigurumamidi,02-11-2022,0.614531,16.35432,,18.14423,100.1361,-0.00034,7.061911,7.199218,37.09843,56.93164,55.99887,36.01232,2.812897,2.607109,7.60E-05,5.251883,6.955003,0.008412,4.93E-05,
Chigurumamidi,03-11-2022,-0.6458,17.7553,,26.04731,99.62691,-0.00034,6.522345,7.198827,37.09764,56.89755,55.9983,36.01848,2.798744,2.595936,7.10E-05,5.237745,6.946119,0.008416,4.98E-05,
Chigurumamidi,04-11-2022,-0.5391,16.83208,,24.52974,100.4473,-0.00035,9.891942,7.198437,37.09685,56.86345,55.99773,36.02464,2.784591,2.584762,6.61E-05,5.223607,6.937236,0.008421,5.03E-05,
Chigurumamidi,05-11-2022,-0.65394,16.70822,,20.31162,98.90397,-0.00036,7.282354,7.198046,37.09607,56.82936,55.99717,36.0308,2.770438,2.573589,6.12E-05,5.209469,6.928353,0.008425,5.08E-05,
Chigurumamidi,06-11-2022,-0.65838,15.83463,,18.61925,99.83413,-0.00037,6.806499,7.197655,37.09528,56.79526,55.9966,36.03696,2.756285,2.562415,5.62E-05,5.195331,6.91947,0.00843,5.14E-05,
Chigurumamidi,07-11-2022,-0.66267,16.13461,,20.73617,97.40407,-0.00036,6.033448,7.197264,37.09449,56.76117,55.99603,36.04312,2.742132,2.551242,5.13E-05,5.181193,6.910586,0.008434,5.19E-05,
Chigurumamidi,08-11-2022,-0.66681,14.3597,,17.36118,99.23155,-0.00036,6.223307,7.196873,37.09371,56.72707,55.99547,36.04928,2.727979,2.540068,4.63E-05,5.167055,6.901703,0.008439,5.24E-05,
Chigurumamidi,09-11-2022,-0.6708,13.21095,,12.26136,99.00006,-0.00034,6.145915,7.196482,37.09292,56.69298,55.9949,36.05544,2.713826,2.528895,4.14E-05,5.152917,6.89282,0.008443,5.29E-05,
Chigurumamidi,10-11-2022,-0.6748,12.98647,,11.18912,99.30096,-0.00032,6.063772,7.196092,37.09214,56.65888,55.99433,36.0616,2.699673,2.517721,3.65E-05,5.138779,6.883936,0.008448,5.34E-05,
Chigurumamidi,11-11-2022,-0.67909,12.41244,,5.798592,90.91602,-0.0003,6.092827,7.195701,37.09135,56.62479,55.99376,36.06776,2.68552,2.506548,3.15E-05,5.124641,6.875053,0.008452,5.40E-05,
Chigurumamidi,12-11-2022,-0.68222,14.01297,,8.276089,93.42216,-0.00029,6.326595,7.19531,37.09056,56.5907,55.9932,36.07391,2.671367,2.495374,2.66E-05,5.110503,6.86617,0.008457,5.45E-05,
Chigurumamidi,13-11-2022,-0.68637,15.81274,,13.62732,94.61858,-0.00027,6.745414,7.194919,37.08978,56.5566,55.99263,36.08007,2.657214,2.484201,2.17E-05,5.096365,6.857287,0.008461,5.50E-05,
Chigurumamidi,14-11-2022,-0.67412,15.36334,,15.39153,95.26642,-0.00027,5.696371,7.194528,37.08899,56.52251,55.99206,36.08623,2.643061,2.473027,1.67E-05,5.082227,6.848403,0.008466,5.55E-05,
Chigurumamidi,15-11-2022,-0.67827,15.73874,,11.80629,96.24832,-0.00028,5.803637,7.194137,37.0882,56.48841,55.9915,36.09239,2.628908,2.461854,1.18E-05,5.068089,6.83952,0.00847,5.60E-05,
Chigurumamidi,16-11-2022,8.440466,16.2402,,14.68563,93.15113,-0.00028,6.780371,7.193746,37.08742,56.45432,55.99093,36.09855,2.614755,2.45068,6.87E-06,5.053951,6.830637,0.008474,5.66E-05,
Chigurumamidi,17-11-2022,-0.68693,16.61661,,15.45638,98.68599,-0.00029,8.621153,7.193356,37.08663,56.42022,55.99036,36.10471,2.600602,2.439507,1.94E-06,5.039813,6.821754,0.008479,5.71E-05,
Chigurumamidi,18-11-2022,-0.69122,17.71725,,16.095,100.8006,-0.00029,6.684038,7.192965,37.08584,56.38613,55.9898,36.11087,2.586449,2.428333,-3.00E-06,5.025675,6.81287,0.008483,5.76E-05,
Chigurumamidi,19-11-2022,-0.69506,17.99396,,20.77352,100.8407,-0.00029,5.472934,7.192574,37.08506,56.35203,55.98923,36.11703,2.572296,2.41716,-7.93E-06,5.011537,6.803987,0.008488,5.81E-05,
Chigurumamidi,20-11-2022,-0.6992,17.67101,,19.29409,100.4042,-0.00028,7.817076,7.192183,37.08427,56.31794,55.98866,36.12319,2.558144,2.405986,-1.29E-05,4.997399,6.795104,0.008492,5.86E-05,
Chigurumamidi,21-11-2022,-0.67177,16.0719,,16.48872,99.30405,-0.00027,5.534963,7.191792,37.08348,56.28385,55.9881,36.12935,2.543991,2.394813,-1.78E-05,4.983262,6.78622,0.008497,5.92E-05,
Chigurumamidi,22-11-2022,-0.70748,15.62239,,12.81158,97.8142,-0.00025,7.636653,7.191401,37.0827,56.24975,55.98753,36.13551,2.529838,2.383639,-2.27E-05,4.969124,6.777337,0.008501,5.97E-05,
Chigurumamidi,23-11-2022,-0.71173,14.82397,,11.32268,97.48012,-0.00024,6.619655,7.191011,37.08191,56.21566,55.98696,36.14167,2.515685,2.372466,-2.77E-05,4.954986,6.768454,0.008506,6.02E-05,
Chigurumamidi,24-11-2022,-0.71587,13.65054,,12.26906,97.82331,-0.00022,7.052401,7.19062,37.08112,56.18156,55.9864,36.14783,2.501532,2.361292,-3.26E-05,4.940848,6.759571,0.00851,6.07E-05,
Chigurumamidi,25-11-2022,-0.71987,12.65059,,10.78818,97.37591,-0.0002,7.956412,7.190229,37.08034,56.14747,55.98583,36.15399,2.487379,2.350119,-3.75E-05,4.92671,6.750687,0.008515,6.12E-05,
Chigurumamidi,26-11-2022,-0.724,13.5514,,9.654499,92.91562,-0.00018,7.694578,7.189838,37.07955,56.11337,55.98526,36.16015,2.473226,2.338945,-4.25E-05,4.912572,6.741804,0.008519,6.18E-05,
Chigurumamidi,27-11-2022,-0.55971,12.82836,,14.65117,96.62208,-0.00017,5.624423,7.189447,37.07876,56.07928,55.98469,36.16631,2.459073,2.327772,-4.74E-05,4.898434,6.732921,0.008524,6.23E-05,
Chigurumamidi,28-11-2022,-0.4797,13.40376,,23.21371,95.96334,-0.00016,5.921092,7.189056,37.07798,56.04518,55.98413,36.17247,2.44492,2.316598,-5.23E-05,4.884296,6.724038,0.008528,6.28E-05,
Chigurumamidi,29-11-2022,-0.73627,14.40503,,19.65112,92.54451,-0.00015,7.467179,7.188665,37.07719,56.01109,55.98356,36.17863,2.430767,2.305425,-5.73E-05,4.870158,6.715154,0.008532,6.33E-05,
Chigurumamidi,30-11-2022,-0.74057,14.38086,,18.24174,89.33549,-0.00015,5.216411,7.188275,37.07641,55.977,55.98299,36.18479,2.416614,2.294251,-6.22E-05,4.85602,6.706271,0.008537,6.38E-05,
Chigurumamidi,01-12-2022,-0.74482,13.55651,,16.26454,95.03944,-0.00015,7.352768,7.187884,37.07562,55.9429,55.98243,36.19095,2.402461,2.283078,-6.72E-05,4.841882,6.697388,0.008541,6.44E-05,
Chigurumamidi,02-12-2022,0.120597,13.43312,,21.26634,97.95278,0.07484,7.912078,7.187493,37.07483,55.90881,55.98186,36.19711,2.388308,2.271904,-7.21E-05,4.827744,6.688504,0.008546,6.49E-05,
Chigurumamidi,03-12-2022,-0.77852,12.67207,,18.03559,98.37965,-0.00015,8.939189,7.187102,37.07405,55.87471,55.98129,36.20327,2.374155,2.260731,-7.70E-05,4.813606,6.679621,0.00855,6.54E-05,
Chigurumamidi,04-12-2022,-0.78305,12.46099,,16.68608,96.18716,-0.00015,7.361074,7.186711,37.07326,55.84062,55.98073,36.20943,2.360002,2.249558,-8.20E-05,4.799468,6.670738,0.008555,6.59E-05,
Chigurumamidi,05-12-2022,-0.788,12.66302,,11.91909,96.21647,-0.00015,8.465053,7.18632,37.07247,55.80652,55.98016,36.21558,2.345849,2.238384,-8.69E-05,4.78533,6.661855,0.008559,6.64E-05,
Chigurumamidi,06-12-2022,-0.79187,12.58984,,14.21643,98.38365,-0.00014,7.869463,7.185929,37.07169,55.77243,55.97959,36.22174,2.331696,2.227211,-9.18E-05,4.771192,6.652971,0.008564,6.70E-05,
Chigurumamidi,07-12-2022,-0.79542,13.84061,,16.24884,97.2993,-0.00013,9.524273,7.185539,37.0709,55.73834,55.97903,36.2279,2.317543,2.216037,-9.68E-05,4.757054,6.644088,0.008568,6.75E-05,
Chigurumamidi,08-12-2022,-0.79661,14.20383,,17.48098,98.86391,-0.00012,8.678615,7.185148,37.07011,55.70424,55.97846,36.23406,2.30339,2.204864,-0.0001,4.742916,6.635205,0.008573,6.80E-05,
Chigurumamidi,09-12-2022,-0.79985,14.47883,,14.99845,97.74387,-9.91E-05,6.799008,7.184757,37.06933,55.67015,55.97789,36.24022,2.289237,2.19369,-0.00011,4.728778,6.626322,0.008577,6.85E-05,
Chigurumamidi,10-12-2022,-0.80423,15.02882,,15.2869,96.8259,-7.78E-05,7.767603,7.184366,37.06854,55.63605,55.97733,36.24638,2.275084,2.182517,-0.00011,4.71464,6.617438,0.008582,6.90E-05,
Chigurumamidi,11-12-2022,-0.82803,14.66624,,17.39931,95.53734,-5.46E-05,10.16789,7.183975,37.06775,55.60196,55.97676,36.25254,2.260931,2.171343,-0.00012,4.700502,6.608555,0.008586,6.96E-05,
Chigurumamidi,12-12-2022,-0.82706,14.35377,,16.47005,100.226,-3.23E-05,10.6277,7.183584,37.06697,55.56786,55.97619,36.2587,2.246778,2.16017,-0.00012,4.686364,6.599672,0.00859,7.01E-05,
Chigurumamidi,13-12-2022,-0.69029,15.17779,,20.55611,97.32123,-1.73E-05,9.891616,7.183194,37.06618,55.53377,55.97563,36.26486,2.232626,2.148996,-0.00013,4.672226,6.590788,0.008595,7.06E-05,
Chigurumamidi,14-12-2022,-0.85491,14.37647,,24.58262,94.10638,-3.82E-06,9.503584,7.182803,37.06539,55.49967,55.97506,36.27102,2.218473,2.137823,-0.00013,4.658088,6.581905,0.008599,7.11E-05,
Chigurumamidi,15-12-2022,-0.85946,13.17571,,23.84637,99.19838,5.49E-08,10.15534,7.182412,37.06461,55.46558,55.97449,36.27718,2.20432,2.126649,-0.00014,4.64395,6.573022,0.008604,7.16E-05,
Chigurumamidi,16-12-2022,-0.86376,12.43651,,18.57336,92.7947,6.02E-06,8.823142,7.182021,37.06382,55.43149,55.97392,36.28334,2.190167,2.115476,-0.00014,4.629812,6.564139,0.008608,7.22E-05,
Chigurumamidi,17-12-2022,-0.72757,12.49756,,18.16661,99.77253,6.85E-06,9.150879,7.18163,37.06304,55.39739,55.97336,36.2895,2.176014,2.104302,-0.00015,4.615674,6.555255,0.008613,7.27E-05,
Chigurumamidi,18-12-2022,3.136684,11.82117,,29.17882,101.0026,1.19E-05,7.928638,7.181239,37.06225,55.3633,55.97279,36.29566,2.161861,2.093129,-0.00015,4.601536,6.546372,0.008617,7.32E-05,
Chigurumamidi,19-12-2022,-0.87929,11.50663,,29.65413,100.8979,1.30E-05,8.932594,7.180848,37.06146,55.3292,55.97222,36.30182,2.147708,2.081955,-0.00016,4.587398,6.537489,0.008622,7.37E-05,
Chigurumamidi,20-12-2022,-0.88359,10.70534,,20.44119,98.38996,1.38E-05,7.256674,7.180458,37.06068,55.29511,55.97166,36.30798,2.133555,2.070782,-0.00016,4.57326,6.528606,0.008626,7.43E-05,
Chigurumamidi,21-12-2022,-0.88789,9.66689,,16.31746,91.83371,1.25E-05,9.100797,7.180067,37.05989,55.26101,55.97109,36.31414,2.119402,2.059608,-0.00017,4.559122,6.519722,0.008631,7.48E-05,
Chigurumamidi,22-12-2022,-0.88889,9.516674,,9.007636,99.01564,1.24E-05,8.480466,7.179676,37.0591,55.22692,55.97052,36.3203,2.105249,2.048435,-0.00017,4.544984,6.510839,0.008635,7.53E-05,
Chigurumamidi,23-12-2022,-0.88366,10.14175,,11.6729,98.98912,4.63E-06,7.712521,7.179285,37.05832,55.19282,55.96996,36.32646,2.091096,2.037261,-0.00018,4.530846,6.501956,0.00864,7.58E-05,
Chigurumamidi,24-12-2022,-0.89014,12.05395,,13.64454,99.88275,-3.55E-06,8.741067,7.178894,37.05753,55.15873,55.96939,36.33262,2.076943,2.026088,-0.00018,4.516708,6.493072,0.008644,7.63E-05,
Chigurumamidi,25-12-2022,-0.89464,13.14158,,15.76162,95.6652,-1.11E-05,9.116246,7.178503,37.05674,55.12464,55.96882,36.33878,2.06279,2.014914,-0.00019,4.50257,6.484189,0.008649,7.69E-05,
Chigurumamidi,26-12-2022,-0.90028,13.12782,,20.29876,97.53086,-1.89E-05,6.355194,7.178113,37.05596,55.09054,55.96826,36.34494,2.048637,2.003741,-0.00019,4.488432,6.475306,0.008653,7.74E-05,
Chigurumamidi,27-12-2022,-0.92214,13.39031,,20.75146,96.55839,-2.02E-05,7.64785,7.177722,37.05517,55.05645,55.96769,36.35109,2.034484,1.992567,-0.0002,4.474295,6.466423,0.008657,7.79E-05,
Chigurumamidi,28-12-2022,-0.9135,10.86534,,19.41376,90.67393,-8.03E-06,9.905306,7.177331,37.05438,55.02235,55.96712,36.35725,2.020331,1.981394,-0.0002,4.460157,6.457539,0.008662,7.84E-05,
Chigurumamidi,29-12-2022,-0.91753,10.80226,,7.849628,89.40378,6.81E-06,10.33796,7.17694,37.0536,54.98826,55.96656,36.36341,2.006178,1.97022,-0.00021,4.446019,6.448656,0.008666,7.89E-05,
Chigurumamidi,30-12-2022,-0.92197,12.51471,,13.81629,91.58825,3.12E-05,7.023772,7.176549,37.05281,54.95416,55.96599,36.36957,1.992025,1.959047,-0.00021,4.431881,6.439773,0.008671,7.95E-05,
Chigurumamidi,31-12-2022,-0.93881,12.32771,,20.53648,94.99532,4.64E-05,11.28057,7.176158,37.05202,54.92007,55.96542,36.37573,1.977872,1.947873,-0.00022,4.417743,6.43089,0.008675,8.00E-05,
Chigurumamidi,01-01-2023,-0.767,12.90643,,16.7671,88.95567,0.000284,9.504568,7.175767,37.05124,54.88597,55.96486,36.38189,1.963719,1.9367,-0.00022,4.403605,6.422006,0.00868,8.05E-05,
Chigurumamidi,02-01-2023,-0.76966,12.56725,,18.52253,93.84961,0.000289,8.452543,7.175377,37.05045,54.85188,55.96429,36.38805,1.949566,1.925526,-0.00023,4.389467,6.413123,0.008684,8.10E-05,
Chigurumamidi,03-01-2023,0.820876,12.48797,,21.86988,97.54542,0.000293,7.625484,7.174986,37.04967,54.81779,55.96372,36.39421,1.935413,1.914353,-0.00023,4.375329,6.40424,0.008689,8.15E-05,
Chigurumamidi,04-01-2023,-0.77849,11.80913,,18.81232,95.48722,0.00029,8.038909,7.174595,37.04888,54.78369,55.96315,36.40037,1.92126,1.903179,-0.00023,4.361191,6.395356,0.008693,8.21E-05,
Chigurumamidi,05-01-2023,-0.77865,12.19023,,14.37596,94.07484,0.000291,9.178518,7.174204,37.04809,54.7496,55.96259,36.40653,1.907108,1.892006,-0.00024,4.347053,6.386473,0.008698,8.26E-05,
Chigurumamidi,06-01-2023,-0.78042,13.65019,,15.74627,94.775,0.000295,7.823768,7.173813,37.04731,54.7155,55.96202,36.41269,1.892955,1.880832,-0.00024,4.332915,6.37759,0.008702,8.31E-05,
Chigurumamidi,07-01-2023,-0.78636,14.57098,,17.21578,96.41082,0.000293,9.175712,7.173422,37.04652,54.68141,55.96145,36.41885,1.878802,1.869659,-0.00025,4.318777,6.368707,0.008707,8.36E-05,
Chigurumamidi,08-01-2023,-0.78946,14.55138,,22.35926,96.92505,0.000289,9.796162,7.173032,37.04573,54.64731,55.96089,36.42501,1.864649,1.858485,-0.00025,4.304639,6.359823,0.008711,8.41E-05,
Chigurumamidi,09-01-2023,-0.79241,13.01288,,12.88981,93.18052,0.000285,9.861293,7.172641,37.04495,54.61322,55.96032,36.43117,1.850496,1.847312,-0.00026,4.290501,6.35094,0.008715,8.47E-05,
Chigurumamidi,10-01-2023,-0.80809,12.05406,,12.68153,93.69605,0.000276,9.254914,7.17225,37.04416,54.57912,55.95975,36.43733,1.836343,1.836138,-0.00026,4.276363,6.342057,0.00872,8.52E-05,
Chigurumamidi,11-01-2023,1.929543,12.61518,,8.681073,95.6465,0.000269,7.819255,7.171859,37.04337,54.54503,55.95919,36.44349,1.82219,1.824965,-0.00027,4.262225,6.333174,0.008724,8.57E-05,
Chigurumamidi,12-01-2023,1.652126,13.37588,,12.49609,95.92167,0.00027,8.90489,7.171468,37.04259,54.51094,55.95862,36.44965,1.808037,1.813791,-0.00027,4.248087,6.32429,0.008729,8.62E-05,
Chigurumamidi,13-01-2023,-0.83138,14.29608,,15.17628,95.60781,0.100282,7.875768,7.171077,37.0418,54.47684,55.95805,36.45581,1.793884,1.802618,-0.00028,4.233949,6.315407,0.008733,8.67E-05,
Chigurumamidi,14-01-2023,-0.84854,14.41677,,15.33436,96.86973,0.000301,10.11621,7.170686,37.04101,54.44275,55.95749,36.46197,1.779731,1.791444,-0.00028,4.219811,6.306524,0.008738,8.73E-05,
Chigurumamidi,15-01-2023,-0.42596,14.41713,,11.08812,98.77168,0.000322,7.907079,7.170296,37.04023,54.40865,55.95692,36.46813,1.765578,1.780271,-0.00029,4.205673,6.29764,0.008742,8.78E-05,
Chigurumamidi,16-01-2023,-0.85827,13.53711,,19.80531,100.223,0.000337,7.852841,7.169905,37.03944,54.37456,55.95635,36.47429,1.751425,1.769097,-0.00029,4.191535,6.288757,0.008747,8.83E-05,
Chigurumamidi,17-01-2023,-0.86254,13.31706,,17.75774,94.77107,0.000352,9.471748,7.169514,37.03865,54.34046,55.95579,36.48045,1.737272,1.757924,-0.0003,4.177397,6.279874,0.008751,8.88E-05,
Chigurumamidi,18-01-2023,-0.86836,13.71692,,13.93444,98.78191,0.000365,8.734679,7.169123,37.03787,54.30637,55.95522,36.48661,1.723119,1.74675,-0.0003,4.163259,6.270991,0.008756,8.93E-05,
Chigurumamidi,19-01-2023,-0.86445,12.93663,,9.979523,98.57698,0.000369,7.160126,7.168732,37.03708,54.27228,55.95465,36.49276,1.708966,1.735577,-0.00031,4.149121,6.262107,0.00876,8.99E-05,
Chigurumamidi,20-01-2023,-0.86886,12.13653,,10.10092,96.21035,0.000384,6.659203,7.168341,37.03629,54.23818,55.95408,36.49892,1.694813,1.724403,-0.00031,4.134983,6.253224,0.008765,9.04E-05,
Chigurumamidi,21-01-2023,-0.87995,12.95594,,5.532225,97.16173,0.000395,8.453377,7.16795,37.03551,54.20409,55.95352,36.50508,1.68066,1.71323,-0.00032,4.120845,6.244341,0.008769,9.09E-05,
Chigurumamidi,22-01-2023,-0.89928,14.07589,,8.477661,97.30764,0.000411,10.96008,7.16756,37.03472,54.16999,55.95295,36.51124,1.666507,1.702056,-0.00032,4.106707,6.235458,0.008773,9.14E-05,
Chigurumamidi,23-01-2023,-0.90563,14.91617,,10.10446,98.65778,0.000421,11.14549,7.167169,37.03394,54.1359,55.95238,36.5174,1.652354,1.690883,-0.00033,4.092569,6.226574,0.008778,9.19E-05,
Chigurumamidi,24-01-2023,-0.9104,14.15621,,14.296,99.26781,0.000419,9.283908,7.166778,37.03315,54.1018,55.95182,36.52356,1.638201,1.679709,-0.00033,4.078431,6.217691,0.008782,9.25E-05,
Chigurumamidi,25-01-2023,-0.91496,14.4163,,14.97951,96.25461,0.000419,9.290474,7.166387,37.03236,54.06771,55.95125,36.52972,1.624048,1.668536,-0.00034,4.064293,6.208808,0.008787,9.30E-05,
Chigurumamidi,26-01-2023,-0.91919,13.73678,,15.60924,94.0702,0.000419,9.523646,7.165996,37.03158,54.03361,55.95068,36.53588,1.609895,1.657362,-0.00034,4.050155,6.199924,0.008791,9.35E-05,
Chigurumamidi,27-01-2023,6.710207,14.11776,,22.05081,90.63353,0.00041,7.564736,7.165605,37.03079,53.99952,55.95012,36.54204,1.595742,1.646189,-0.00035,4.036017,6.191041,0.008796,9.40E-05,
Chigurumamidi,28-01-2023,-0.92788,13.39877,,27.68484,99.30217,0.000406,8.496013,7.165215,37.03,53.96543,55.94955,36.5482,1.58159,1.635016,-0.00035,4.021879,6.182158,0.0088,9.45E-05,
Chigurumamidi,29-01-2023,-0.93232,12.31916,,23.45413,99.65472,0.040408,9.559547,7.164824,37.02922,53.93133,55.94898,36.55436,1.567437,1.623842,-0.00036,4.007741,6.173275,0.008805,9.51E-05,
Chigurumamidi,30-01-2023,-0.93694,10.87982,,16.64513,95.09062,0.000399,10.13682,7.164433,37.02843,53.89724,55.94842,36.56052,1.553284,1.612669,-0.00036,3.993603,6.164391,0.008809,9.56E-05,
Chigurumamidi,31-01-2023,-0.94136,11.84042,,17.69762,88.79157,0.260401,8.948348,7.164042,37.02764,53.86314,55.94785,36.56668,1.539131,1.601495,-0.00037,3.979465,6.155508,0.008814,9.61E-05,
Chigurumamidi,01-02-2023,-0.94565,12.18024,,13.67759,92.05692,0.000395,23.33286,7.163651,37.02686,53.82905,55.94728,36.57284,1.524978,1.590322,-0.00037,3.965328,6.146625,0.008818,9.66E-05,
Chigurumamidi,02-02-2023,-0.94992,11.74101,,13.69911,92.96133,0.000401,22.29189,7.16326,37.02607,53.79495,55.94672,36.579,1.510825,1.579148,-0.00038,3.95119,6.137742,0.008823,9.72E-05,
Chigurumamidi,03-02-2023,-0.95434,13.00254,,11.29697,87.18384,0.260407,21.1714,7.162869,37.02528,53.76086,55.94615,36.58516,1.496672,1.567975,-0.00038,3.937052,6.128858,0.008827,9.77E-05,
Chigurumamidi,04-02-2023,-0.95905,12.80302,,9.919014,84.74637,0.000412,23.4181,7.162479,37.0245,53.72676,55.94558,36.59132,1.482519,1.556801,-0.00039,3.922914,6.119975,0.008831,9.82E-05,
Chigurumamidi,05-02-2023,-0.96391,12.00331,,6.457699,92.53551,0.000414,22.41654,7.162088,37.02371,53.69267,55.94502,36.59748,1.468366,1.545628,-0.00039,3.908776,6.111092,0.008836,9.87E-05,
Chigurumamidi,06-02-2023,-0.96717,12.26362,,6.393392,96.44452,0.000423,23.39594,7.161697,37.02292,53.65858,55.94445,36.60364,1.454213,1.534454,-0.0004,3.894638,6.102208,0.00884,9.92E-05,
Chigurumamidi,07-02-2023,-0.97075,14.04459,,11.77084,89.0044,0.440442,23.98454,7.161306,37.02214,53.62448,55.94388,36.6098,1.44006,1.523281,-0.0004,3.8805,6.093325,0.008845,9.98E-05,
Chigurumamidi,08-02-2023,6.407726,13.3659,,16.53493,93.48615,0.000458,23.21741,7.160915,37.02135,53.59039,55.94331,36.61596,1.425907,1.512107,-0.00041,3.866362,6.084442,0.008849,0.0001,
Chigurumamidi,09-02-2023,-0.97982,13.70703,,19.68927,92.96696,0.000471,23.49638,7.160524,37.02057,53.55629,55.94275,36.62212,1.411754,1.500934,-0.00041,3.852224,6.075559,0.008854,0.000101,
Chigurumamidi,10-02-2023,-0.98233,12.48758,,12.46983,86.62593,0.020476,21.99841,7.160134,37.01978,53.5222,55.94218,36.62828,1.397601,1.48976,-0.00042,3.838086,6.066675,0.008858,0.000101,
Chigurumamidi,11-02-2023,-0.96593,14.00847,,12.44914,85.73096,0.000495,21.32326,7.159743,37.01899,53.4881,55.94161,36.63443,1.383448,1.478587,-0.00042,3.823948,6.057792,0.008863,0.000102,
Chigurumamidi,12-02-2023,-0.9698,13.72898,,11.91254,99.68457,0.020509,23.93346,7.159352,37.01821,53.45401,55.94105,36.64059,1.369295,1.467413,-0.00043,3.80981,6.048909,0.008867,0.000102,
Chigurumamidi,13-02-2023,-0.97422,12.69072,,9.645021,98.38039,0.180508,21.62049,7.158961,37.01742,53.41991,55.94048,36.64675,1.355142,1.45624,-0.00043,3.795672,6.040026,0.008872,0.000103,
Chigurumamidi,14-02-2023,-0.97878,12.51192,,3.306922,97.25653,0.020519,22.26055,7.15857,37.01663,53.38582,55.93991,36.65291,1.340989,1.445066,-0.00044,3.781534,6.031142,0.008876,0.000103,
Chigurumamidi,15-02-2023,-0.98816,13.91301,,5.431715,92.77027,0.000515,21.77185,7.158179,37.01585,53.35173,55.93935,36.65907,1.326836,1.433893,-0.00044,3.767396,6.022259,0.008881,0.000104,
Chigurumamidi,16-02-2023,-0.42395,13.67438,,5.541039,93.07259,0.000505,22.25441,7.157788,37.01506,53.31763,55.93878,36.66523,1.312683,1.422719,-0.00045,3.753258,6.013376,0.008885,0.000104,
Chigurumamidi,17-02-2023,-0.99857,13.31485,,4.713743,92.78411,0.000494,20.24768,7.157398,37.01427,53.28354,55.93821,36.67139,1.29853,1.411546,-0.00045,3.73912,6.004492,0.008889,0.000105,
Chigurumamidi,18-02-2023,-1.00103,13.55626,,5.457621,98.71329,0.000492,19.8985,7.157007,37.01349,53.24944,55.93765,36.67755,1.284377,1.400372,-0.00046,3.724982,5.995609,0.008894,0.000105,
Chigurumamidi,19-02-2023,-1.00122,14.85743,,12.56304,98.18388,0.000497,21.43765,7.156616,37.0127,53.21535,55.93708,36.68371,1.270225,1.389199,-0.00046,3.710844,5.986726,0.008898,0.000106,
Chigurumamidi,20-02-2023,-0.99992,15.47726,,14.86542,98.21857,0.860495,23.29825,7.156225,37.01191,53.18125,55.93651,36.68987,1.256072,1.378025,-0.00047,3.696706,5.977843,0.008903,0.000107,
Chigurumamidi,21-02-2023,-1.00686,13.65779,,12.99235,97.10867,0.000483,24.702,7.155834,37.01113,53.14716,55.93595,36.69603,1.241919,1.366852,-0.00047,3.682568,5.968959,0.008907,0.000107,
Chigurumamidi,22-02-2023,-1.01689,14.8583,,8.202515,85.91721,0.000487,24.61425,7.155443,37.01034,53.11306,55.93538,36.70219,1.227766,1.355678,-0.00048,3.66843,5.960076,0.008912,0.000108,
Chigurumamidi,23-02-2023,-1.02403,14.97826,,5.980536,89.89149,0.000494,21.10369,7.155053,37.00955,53.07897,55.93481,36.70835,1.213613,1.344505,-0.00048,3.654292,5.951193,0.008916,0.000108,
Chigurumamidi,24-02-2023,-1.02962,14.85868,,3.392444,89.0252,0.000484,22.51117,7.154662,37.00877,53.04488,55.93425,36.71451,1.19946,1.333331,-0.00049,3.640154,5.94231,0.008921,0.000109,
Chigurumamidi,25-02-2023,-1.03703,13.73867,,3.657979,86.8986,0.000493,20.07007,7.154271,37.00798,53.01078,55.93368,36.72067,1.185307,1.322158,-0.00049,3.626016,5.933426,0.008925,0.000109,
Chigurumamidi,26-02-2023,-1.04127,12.11851,,-1.29446,88.67148,0.0205,21.11961,7.15388,37.0072,52.97669,55.93311,36.72683,1.171154,1.310984,-0.0005,3.611878,5.924543,0.00893,0.00011,
Chigurumamidi,27-02-2023,-1.04619,14.3371,,0.154833,89.1255,0.000504,20.51506,7.153489,37.00641,52.94259,55.93254,36.73299,1.157001,1.299811,-0.0005,3.59774,5.91566,0.008934,0.00011,
Chigurumamidi,28-02-2023,-1.05084,14.19676,,5.644145,94.83782,0.000508,19.83186,7.153098,37.00562,52.9085,55.93198,36.73915,1.142848,1.288637,-0.00051,3.583602,5.906776,0.008939,0.000111,
Chigurumamidi,01-03-2023,-1.05987,15.25731,,2.387982,88.06374,0.000492,12.32587,7.152707,37.00484,52.8744,55.93141,36.74531,1.128695,1.277464,-0.00051,3.569464,5.897893,0.008943,0.000111,
Chigurumamidi,02-03-2023,-1.06706,16.99675,,10.74216,87.79004,0.000478,10.68394,7.152317,37.00405,52.84031,55.93084,36.75147,1.114542,1.26629,-0.00052,3.555326,5.88901,0.008948,0.000112,
